abstract,source
"Osteoarthritis (OA) is a major cause of joint pain and disability, and chondrocyte senescence is a key pathological process in OA and may be a target of new therapeutics. MicroRNA-140 (miR-140) plays a protective role in OA, but little is known about its epigenetic effect on chondrocyte senescence. In this study, we first validated the features of chondrocyte senescence characterized by increased cell cycle arrest in the G0/G1 phase and the expression of senescence-associated ?-galactosidase (SA-?Gal), p16INK4a, p21, p53, and ?H2AX in human knee OA. Then, we revealed in interleukin 1? (IL-1?)-induced OA chondrocytes in vitro that pretransfection with miR-140 effectively inhibited the expression of SA-?Gal, p16INK4a, p21, p53, and ?H2AX. Furthermore, in vivo results from trauma-induced early-stage OA rats showed that intra-articularly injected miR-140 could rapidly reach the chondrocyte cytoplasm and induce molecular changes similar to the in vitro results, resulting in a noticeable alleviation of OA progression. Finally, bioinformatics analysis predicted the potential targets of miR-140 and a mechanistic network by which miR-140 regulates chondrocyte senescence. Collectively, miR-140 can effectively attenuate the progression of early-stage OA by retarding chondrocyte senescence, contributing new evidence of the involvement of miR-mediated epigenetic regulation of chondrocyte senescence in OA pathogenesis.",PubMed
"INTRODUCTION:

Multidisciplinary approach to osteoarthritis (OA) in older patients, whose functional decline is multifactorial and who present with multiple symptoms, has been long advocated, but it is still seldom implemented in daily practice. Therefore, further indications for the management of OA are eagerly awaited and should consider the specific clinical features of this population, including the presence of frailty and comorbidities. This clinical approach should be based both on well-grounded evidence and practical experience of experts in OA management. This manuscript comments the multidisciplinary integrated approach for OA management in the older population, according to the opinion of a multidisciplinary Panel of Experts.
EVIDENCE ACQUISITION:

This project was developed by a Steering Committee, which consisted of three experts that were identified by the Italian Society of Physical and Rehabilitation Medicine (Societ… Italiana di Medicina Fisica e Riabilitativa, SIMFER) and the Italian Society for Unified and Interdisciplinary Management of Musculoskeletal Pain and Algodystrophy (Societ… Italiana per la Gestione Unificata e Interdisciplinare del Dolore muscolo-scheletrico e dell'Algodistrofia, SI-GUIDA). The Steering Committee identified key evidence on the management of OA in the older through systematic research in MEDLINE and EMBASE, selected the most relevant paper among those identified, and defined some questions concerning current unmet needs in the management of symptomatic OA in the older accordingly. The Panel discussed the identified evidence and questions during two meetings.
EVIDENCE SYNTHESIS:

The discussion was used to generate seven statements with relevance to clinical practice.
CONCLUSIONS:

Older adults with symptomatic OA present multiple concomitant issues, including other diseases, marked pain, poly-pharmacy, and often poor psychological and/or socio-economical status. According to the above-described evidence, it is crucial that the approach to those patients is multidisciplinary and based on the use of dedicated tools. A combination of exercise, mechanical support and properly selected analgesic treatment will greatly help the management of the OA patient, improving at the same time his/her quality of life.",PubMed
"BACKGROUND:

Minimally invasive fusion of the sacroiliac (SI) joint has gained popularity for the treatment of refractory dysfunction. The purpose of this study was to compare the clinical outcomes of minimally invasive SI joint fusion between cylindrical threaded implants (CTIs) and triangular dowel implants (TDIs).
METHODS:

We retrospectively reviewed consecutive patients who underwent SI joint fusions with either CTIs or TDIs. Data collected included patient demographics, perioperative data, and all patient-reported outcomes (PROs) including postoperative visual analog scale (VAS), Oswestry Disability Index, and Short Form-12 at 6 months and 1 year. The change from baseline PROs between the cohorts was analyzed as the primary outcome. Secondary outcomes included revision rates and time to revision between the two cohorts. A P value <0.05 was considered significant.
RESULTS:

One hundred fifty-six consecutive patients underwent SI joint fusion, 74 patients with CTIs and 82 with TDIs. There was a significant difference in procedure length with CTI averaging 60.0 minutes (confidence interval: 55.7-64.3) and TDI averaging 41.2 minutes (confidence interval: 38.4-43.9, P < 0.0005). In both cohorts, there was a significant improvement in all PROs at 6 months when compared with preoperative values. However, when compared, there was no significant difference between the cohorts at 6-month follow-up or 1-year follow-up for either VAS-back, VAS-leg, Oswestry Disability Index, or Short Form-12. A 6.1% revision rate in the CTI cohort was observed compared with a 2.4% revision rate in the TDI cohort (P = 0.11).
CONCLUSIONS:

SI joint fusions with TDI or CTI offer a significant improvement in pain, disability, and quality of life. However, no difference was observed between devices to suggest superior clinical outcomes. Increased revision rates in the Rialto group warrants further investigation.",PubMed
"Gout is the most common inflammatory arthritis which initially presents as a monoarthritis that usually favours peripheral joints namely the 1st MTP. It was reported in the literature to rarely involve the axial joint, such as the sacroiliac joint, and often mimics seronegative spondyloarthritis (SpA). Gout is a male disease and after menopause the risk in females is equal to males. Previous reports describe male patients developing gout involving the SI joint. We report a lady with a history of gout presenting with acute onset lower back pain. MRI of the sacroiliac joints revealed unilateral sacroilitis. With the help of Dual-Energy Computed Tomography (DECT) which is a newer imaging technique, a diagnosis of gout involving the sacroiliac joint was established. Gout involving the sacroiliac joints is rare, however it should be considered in the differential diagnosis in patients with unilateral sacroilitis given the similarity in presentation to SpA. Utilization of newer imaging modalities including DECT can highly guide in establishing a diagnosis and providing the correct treatment.",PubMed
"OBJECTIVE:

This study compares participants in randomized controlled trials (RCTs) (the Minimal Invasive Treatment [MinT] trials) to participants in a related observational study with regard to their low back pain (LBP) symptom course.
STUDY DESIGN AND SETTING:

Eligible patients were diagnosed with chronic LBP originating from the facet joints (N = 615) or sacroiliac (SI) joints (N = 533) and were treated with radiofrequency denervation and an exercise program. Randomized patients were compared to patients in the related observational study who fulfilled all RCT eligibility criteria (observational group 1) and to patients who did not fulfill at least one of the RCT eligibility criteria (observational group 2). Outcomes were pain intensity, treatment success, and functional status over a 3-month period. Longitudinal mixed-model analyses and linear regression models were applied to analyze the differences in outcomes between the RCT and observational study groups.
RESULTS:

No differences in symptom course were found between patients in the RCTs and patients in observational group 1. Patients with facet joint pain in observational group 2 had overall less treatment success (odds ratios [OR], 0.67; 95% confidence interval [CI], 0.50-0.90), and less improvement in physical functioning (mean difference [MD], 5.82; 95% CI, 2.54-9.11) compared to the RCT patients. Patients with SI joint pain in observational group 2 had higher pain scores (MD, 0.40; 95% CI, 0.09-0.72), less treatment success (OR, 0.72; 95% CI, 0.54-0.96), and less improvement in physical functioning (MD, 7.16; 95% CI, 3.84-10.47) compared to the RCT patients.
CONCLUSION:

This supports the generalizability of results from the MinT RCTs as this study suggests that these RCTs reflect clinical practice when comparing similar populations. To what extent this holds true for all RCTs in LBP should be further explored.",PubMed
"With regard to the association of sacroiliac (SI) pain and hip arthroscopy outcomes, it is vital to understand that imaging the SI joint may be unreliable. A recent systematic review on diagnostic accuracy for SI joint pain concluded that more reliable criteria are strongly positive responses to diagnostic injection and a physical examination in which 3 or more provocative maneuvers are positive. SI joint degenerative changes can be found in a majority of asymptotic patients and might be considered normal finding until proven otherwise. When it comes to the spine and pelvis, radiologic changes should be interpreted by caution by both hip surgeons and spine surgeons.",PubMed
"OBJECTIVES:

Patients with low back pain (LBP) are often treated with non-steroidal anti-inflammatory drugs (NSAIDs). NSAIDs are modestly effective for LBP, but many patients with LBP continue to suffer despite treatment with these medications. We compared pain and functional outcomes one week after ED discharge among patients randomized to a one-week course of ibuprofen + acetaminophen versus ibuprofen + placebo.
METHODS:

This was a randomized, double-blind study conducted in two urban EDs. Patients presenting with acute, non-traumatic, non-radicular LBP of no more than 2 weeks duration were eligible for enrollment immediately prior to discharge from an ED if they had a score > 5 on the Roland-Morris Disability Questionnaire (RMDQ), a 24-item validated instrument, indicating more than minimal functional impairment. All patients were given a standardized ten-minute LBP educational session prior to discharge. The primary outcome was improvement on the RMDQ between ED discharge and one week later. One secondary outcome was pain intensity, as measured on a 4-point descriptive scale (severe, moderate, mild, none) at one week.
RESULTS:

Enrollment began in October 2018. 120 patients met selection criteria and were randomized. Baseline demographic characteristics were comparable between the two groups. By one week after the ED visit, patients randomized to ibuprofen + placebo reported a mean improvement in the RMDQ 9.7 of 11.9 (SD), while those randomized to ibuprofen + acetaminophen reported a mean improvement of 11.1 (SD 10.7). The 95%CI for the between-group difference of 0.8 was -3.0, 4.7. At one week, moderate or severe pain was reported by 15/53 (28%) patients in the ibuprofen + placebo group and 16/57 (28%) patients in the ibuprofen + acetaminophen group (95%CI for between group difference of 0%: -17, 17%).
CONCLUSION:

Among ED patients with acute, non-traumatic, non-radicular LBP, adding acetaminophen to ibuprofen does not improve outcomes within one week.",PubMed
"BACKGROUND:

The sacroiliac joint is a common cause of low back pain. Due to variable symptoms, the diagnosis is often very difficult. For diagnosis, systemic disease, as well as pathologies in the hips and lumbar spine must be excluded.
OBJECTIVES:

To describe anatomy and function of the joint and underlying pathologies. To present the evidence of actual diagnostic and therapeutic options.
MATERIALS AND METHODS:

An extensive literature research was carried out on PubMed.
RESULTS:

The sacroiliac joint is an important and biomechanically complex joint. There are many controversial diagnostic tests to identify the sacroiliac joint as a source of pain. The cause of the dysfunction must be identified in order to treat it correctly and to prevent a chronification of the pain. The gold standard is conservative care.
CONCLUSION:

The sacroiliac joint must be included in the differential diagnosis in patients with low back pain. Diagnostic tests are often insufficient for the diagnosis of sacroiliac joint pain. Many of the current diagnostic and therapeutic options present weak evidence.
KEYWORDS:

Intra-articular injections; Low back pain; Lumbar vertebrae; Pelvic pain; Rehabilitation",PubMed
"OBJECTIVES:

To assess the effectiveness and cost-utility of a multifaceted eHealth strategy compared to usual care in improving patients' back pain beliefs, and in decreasing disability and absenteeism.
DESIGN:

Stepped-wedge cluster randomised trial with parallel economic evaluation.
SETTING:

Dutch primary healthcare.
PARTICIPANTS:

Patients diagnosed with non-specific low back pain by their general practitioner or physiotherapist. Patients with serious comorbidities or confirmed pregnancy were excluded. 779 patients were randomised into intervention group (n=331, 59% female; 60.4% completed study) or control group (n=448, 57% female; 77.5% completed study).
INTERVENTIONS:

The intervention consisted of a multifaceted eHealth strategy that included a (mobile) website, digital monthly newsletters, and social media platforms. The website provided information about back pain, practical advice (eg, on self-management), working and returning to work with back pain, exercise tips, and short video messages from healthcare providers and patients providing information and tips. The control consisted of a digital patient information letter. Patients and outcome assessors were blinded to group allocation.
PRIMARY AND SECONDARY OUTCOME MEASURES:

The primary outcome was back pain beliefs. Secondary outcome measures were disability and absenteeism, and for the preplanned economic evaluation quality of life and societal costs were measured.
RESULTS:

There were no between-group differences in back pain beliefs, disability, or absenteeism. Mean intervention costs were ?70- and the societal cost difference was ?535-in favour of the intervention group, but no significant cost savings were found. The incremental cost-effectiveness ratio indicated that the intervention dominated usual care and the probability of cost-effectiveness was 0.85 on a willingness-to-pay of ?10.000/quality adjusted life year (QALY).
CONCLUSIONS:

A multifaceted eHealth strategy was not effective in improving patients' back pain beliefs or in decreasing disability and absenteeism, but showed promising cost-utility results based on QALYs.
TRIAL REGISTRATION NUMBER:

NTR4329.

? Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.
KEYWORDS:

eHealth; health economics; low back pain; public health; randomised controlled trial",PubMed
"STUDY DESIGN:

Randomized controlled trial.
OBJECTIVE:

The determine the short-term effectiveness of thoracic manipulation (MAN) when compared to sham manipulation (SHAM) for individuals with LBP.
BACKGROUND:

Low back pain is one of the most prevalent and disabling musculoskeletal conditions. The management of LBP has been studied extensively, yet the most effective treatment strategies remain to be elucidated.
METHODS:

Patients with LBP were stratified based on symptom duration and randomly assigned to MAN or SHAM treatment groups. Groups received three visits which included core stabilization exercises and patient education. Factorial repeated measures ANOVA and multiple regression was performed for pain, disability, and fear-avoidance. Mann Whitney-U test was used to analyze patient perceived improvement with the Global Rating of Change scale (GROC) at follow up.
RESULTS:

Ninety participants completed the study (mean age 38 ñ 11.5 years; 70% female, 72% chronic LBP). The overall group-by-time interaction for the ANOVA was not significant for MODQ, NPRS, FABQ. GROC was not significantly different between the groups.
CONCLUSION:

Three sessions of thoracic manipulation, education, and exercise did not result in improved outcomes when compared to a sham manipulation, education, and exercise in individuals with chronic LBP. Future studies are needed to identify the most effective management strategies for the treatment of low back pain. Registered at clinicaltrials.gov (NCT02853357).
LEVEL OF EVIDENCE:

Therapy, level 1b. J Orthop Sports Phys Ther, Epub 6 Dec 2019. doi:10.2519/jospt.2020.8928.
KEYWORDS:

low back pain; physical therapy; thoracic manipulation",PubMed
