"lemmatizedAbstract","abstract","source"
"Frequent and painful nocturnal leg cramp ( NLC ) require a effective therapy to improve quality of life and sleep performance in patient. METHOD: In a multicenter, prospective, non - interventional study ( NIS ) datum on the effectiveness, tolerability and safety of quinine sulfate be collect in daily medical management in adult patient with frequent and painful nocturnal leg cramp. result: In total 596 patient be include into the study. Of this, 568 patient finish the study as plan ( 95. 3 % ). numb, duration and pain intensity of NLC be reduce in the majority of patient after 2 week of therapy with quinine sulfate 200 mg OD. physician rate global assessment of treatment effect as "" good "" and "" very good "" in 535 patient ( 92. 4 % ) which be concurrent with the patients' rate ( "" good "" and "" very good "" by 534 patient = 92. 2 % ), base on the full analysis set of 579 patient. Furthermore, quality of life and sleep be improve. Adverse drug reaction be report in 35 / 592 patient ( 5. 9 % ). Severe adverse event be not observe. The total incidence of therapy - associate adverse effect be comparable in the subgroup of patient with concomitant á - blocker therapy ( 149 / 592 patient, 25. 2 %; totally 10 %, subgroup 10. 1 % ). Efficacy and tolerability of quinine sulfate be evaluate as "" very good "" or "" good "" by the majority of physician and patient. conclusion: The present NIS confirm effectiveness and tolerability of the therapy with quinine sulfate in daily clinical routine for adult patient with frequent and painful nocturnal leg cramp.","Frequent and painful nocturnal leg cramps (NLC) require an effective therapy to improve quality of life and sleep performance in patients.
METHOD:

In a multicenter, prospective, non-interventional study (NIS) data on the effectiveness, tolerability and safety of quinine sulfate were collected in daily medical management in adult patients with frequent and painful nocturnal leg cramps.
RESULTS:

In total 596 patients were included into the study. Of these, 568 patients finished the study as planned (95.3%). Number, duration and pain intensity of NLC were reduced in the majority of patients after 2 weeks of therapy with quinine sulfate 200 mg OD. Physicians rated global assessment of treatment effect as ""good"" and ""very good"" in 535 patients (92.4%) which was concurrent with the patients' rating (""good"" and ""very good"" by 534 patients = 92.2%), based on the full analysis set of 579 patients. Furthermore, quality of life and sleep were improved. Adverse drug reactions were reported in 35/592 patients (5.9%). Severe adverse events were not observed. The total incidence of therapy-associated adverse effects was comparable in the subgroup of patients with concomitant á-blocker therapy (149/592 patients, 25.2%; totally 10%, subgroup 10.1%). Efficacy and tolerability of quinine sulfate were evaluated as ""very good"" or ""good"" by the majority of physicians and patients.
CONCLUSIONS:

The present NIS confirms effectiveness and tolerability of the therapy with quinine sulfate in daily clinical routine for adult patients with frequent and painful nocturnal leg cramps.","PubMed"
"A small proportion of patient with exertional leg pain ( ELP ) have deep posterior chronic exertional compartment syndrome ( dp - CECS ). this individual report pain, tightness and cramp deep in the calf muscle that be elicit by exercise, but may also be present during rest to a lesser extent. Physical examination often reveal painful palpation of the flexor muscle in the area immediately dorsomedial to the tibial bone. Diagnosis be confirm by intracompartmental pressure test. Various entity may mimic or coincide with dp - CECS, include medial tibial stress syndrome ( MTSS ) and popliteal artery entrapment syndrome ( PAES ). Fasciotomy of multiple flexor muscle be the only treatment that achieve a beneficial outcome. The aim of this overview be to discuss the diagnosis and management of dp - CECS.","A small proportion of patients with exertional leg pain (ELP) have deep posterior chronic exertional compartment syndrome (dp-CECS). These individuals report pain, tightness and cramps deep in the calf muscles that are elicited by exercise, but may also be present during rest to a lesser extent. Physical examination often reveals painful palpation of the flexor muscles in the area immediately dorsomedial to the tibial bone. Diagnosis is confirmed by intracompartmental pressure testing. Various entities may mimic or coincide with dp-CECS, including medial tibial stress syndrome (MTSS) and popliteal artery entrapment syndrome (PAES). Fasciotomy of multiple flexor muscles is the only treatment that achieves a beneficial outcome. The aim of this overview is to discuss the diagnosis and management of dp-CECS.","PubMed"
"A small proportion of patient with exertional leg pain ( ELP ) have deep posterior chronic exertional compartment syndrome ( dp - CECS ). this individual report pain, tightness and cramp deep in the calf muscle that be elicit by exercise, but may also be present during rest to a lesser extent. Physical examination often reveal painful palpation of the flexor muscle in the area immediately dorsomedial to the tibial bone. Diagnosis be confirm by intracompartmental pressure test. Various entity may mimic or coincide with dp - CECS, include medial tibial stress syndrome ( MTSS ) and popliteal artery entrapment syndrome ( PAES ). Fasciotomy of multiple flexor muscle be the only treatment that achieve a beneficial outcome. The aim of this overview be to discuss the diagnosis and management of dp - CECS. keyword: Deep flexor; Exertional leg pain; Fasciotomy; Tibia","A small proportion of patients with exertional leg pain (ELP) have deep posterior chronic exertional compartment syndrome (dp-CECS). These individuals report pain, tightness and cramps deep in the calf muscles that are elicited by exercise, but may also be present during rest to a lesser extent. Physical examination often reveals painful palpation of the flexor muscles in the area immediately dorsomedial to the tibial bone. Diagnosis is confirmed by intracompartmental pressure testing. Various entities may mimic or coincide with dp-CECS, including medial tibial stress syndrome (MTSS) and popliteal artery entrapment syndrome (PAES). Fasciotomy of multiple flexor muscles is the only treatment that achieves a beneficial outcome. The aim of this overview is to discuss the diagnosis and management of dp-CECS.
KEYWORDS:

Deep flexors; Exertional leg pain; Fasciotomy; Tibia","PubMed"
"BACKGROUND: Intermittent claudication ( IC ) be a symptom of peripheral arterial disease where a cramp - like leg pain be exhibit during walk, which affect gait and limit walk distance. Specifically - design rocker - sole shoe be purport to mechanically unload the calf musculature and increase walk distance until IC pain. RESEARCH question: Do three - curve rocker - sole shoe increase walk distance and what be the biomechanical difference during pain - free walk and IC pain - induce walk, when compare with control shoe? method: follow NHS ethical approval, 31 individual with claudication ( age 69? ñ? 10 year, stature 1. 7? ñ? 0. 9? be, mass 83. 2? ñ? 16. 2? kg, ankle - brachial pressure index 0. 55? ñ? 0. 14 ) be randomise in this cross - over trial. Gait parameter whilst walk with rocker - sole shoe be compare with control shoe at three interval of pain - free walk, at onset of IC pain ( initial claudication distance ) and when IC intensify and prevent them walk any far ( absolute claudication distance ). Two - way repeat measure ANOVA be perform on gait variable. result: When compare with control shoe, rocker - sole shoe reduce ankle power generation ( mean 2.1 vs 1. 6? W / kg, respectively; p? =? 0. 006 ) and alter sagittal kinematics of the hip, knee and ankle. However, this do not translate to a significant increase in initial ( 138? be vs 146? be, respectively ) or absolute ( 373? be vs 406? be, respectively ) claudication distance. In response to IC pain, similar adaptation in temporal - spatial parameter and the sagittal kinematics be observe between the shoe type. SIGNIFICANCE: The three - curve rocker shoe, in their current design, do not augment gait sufficiently to enhance walk distance, when compare with control shoe, and therefore cannot be recommend for the intermittent claudication population. Clinical Reg No. ( ClinicalTrials. gov ): NCT02505503. Copyright? 2018 Elsevier B. V. All right reserve. keyword: Biomechanics; Footwear; Peripheral arterial disease; Peripheral artery disease; Rocker shoe; walk gait","BACKGROUND:

Intermittent claudication (IC) is a symptom of peripheral arterial disease where a cramp-like leg pain is exhibited during walking, which affects gait and limits walking distance. Specifically-designed rocker-soled shoes were purported to mechanically unload the calf musculature and increase walking distances until IC pain.
RESEARCH QUESTIONS:

Do three-curve rocker-soled shoes increase walking distance and what are the biomechanical differences during pain-free walking and IC pain-induced walking, when compared with control shoes?
METHODS:

Following NHS ethical approval, 31 individuals with claudication (age 69?ñ?10 years, stature 1.7?ñ?0.9?m, mass 83.2?ñ?16.2?kg, ankle-brachial pressure index 0.55?ñ?0.14) were randomised in this cross-over trial. Gait parameters whilst walking with rocker-soled shoes were compared with control shoes at three intervals of pain-free walking, at onset of IC pain (initial claudication distance) and when IC intensifies and prevents them walking any further (absolute claudication distance). Two-way repeated measures ANOVA were performed on gait variables.
RESULTS:

When compared with control shoes, rocker-soled shoes reduced ankle power generation (mean 2.1 vs 1.6?W/kg, respectively; p?=?0.006) and altered sagittal kinematics of the hip, knee and ankle. However, this did not translate to a significant increase in initial (138?m vs 146?m, respectively) or absolute (373?m vs 406?m, respectively) claudication distances. In response to IC pain, similar adaptations in temporal-spatial parameters and the sagittal kinematics were observed between the shoe types.
SIGNIFICANCE:

The three-curved rocker shoes, in their current design, do not augment gait sufficiently to enhance walking distance, when compared with control shoes, and therefore cannot be recommended for the intermittent claudication population. Clinical Reg No. (ClinicalTrials.gov): NCT02505503.

Copyright ? 2018 Elsevier B.V. All rights reserved.
KEYWORDS:

Biomechanics; Footwear; Peripheral arterial disease; Peripheral artery disease; Rocker shoes; Walking gait","PubMed"
"OBJECTIVE: Muscle cramp occur in >50 % of diabetic patient and reduce the quality of life. No effective treatment be available. We evaluate the clinical effectiveness of botulinum toxin A ( BTX - A ) injection for treat cramp in diabetic patient with neuropathy. method: This single - center, double - blind, placebo - control perspective study investigate the efficacy and safety of BTX - A intramuscular injection for treat calf or foot cramp refractory to common pharmacological drug. Fifty diabetic patient with peripheral neuropathy and cramp be randomly assign to 2 match group. BTX - A ( 100 or 30 unit ) or saline be inject on each side into the gastrocnemius or the small flexor foot muscle. change in pain intensity ( primary outcome ) and cramp frequency be evaluate over the course of 20 week after BTX - A administration. Cramp interference in daily life and the electrophysiological cramp threshold frequency be also measure. The treatment be repeat 5 month after first injection in 19 responder. result: All outcome measure improve significantly after BTX - A compare with placebo. The change with respect to baseline be already significant after 1 week and persist up to week 14. Only 5 of 25 ( 20 % ) patient be nonresponders ( <50 % decrease of the primary outcome ). The response to a 2 BTX - A injection provide result similar to the first administration. Mild pain at the injection site ( 4 / 25 case ) be the only adverse event, and it disappear within 2 to 3 day. INTERPRETATION: Local BTX - A infiltration be a efficacious and safe procedure for obtain a sustain amelioration of muscle cramp associate with diabetic neuropathy. Ann Neurol 2018; 84: 682 - 690.","OBJECTIVE:

Muscle cramps occur in >50% of diabetic patients and reduce the quality of life. No effective treatment is available. We evaluated the clinical effectiveness of botulinum toxin A (BTX-A) injections for treating cramps in diabetic patients with neuropathy.
METHODS:

This single-center, double-blind, placebo-controlled perspective study investigated the efficacy and safety of BTX-A intramuscular injection for treating calf or foot cramps refractory to common pharmacological drugs. Fifty diabetic patients with peripheral neuropathy and cramps were randomly assigned to 2 matched groups. BTX-A (100 or 30 units) or saline was injected on each side into the gastrocnemius or the small flexor foot muscles. Changes in pain intensity (primary outcome) and cramp frequency were evaluated over the course of 20 weeks after BTX-A administration. Cramp interference in daily life and the electrophysiological cramp threshold frequency were also measured. The treatment was repeated 5 months after first injection in 19 responders.
RESULTS:

All outcome measures improved significantly after BTX-A compared with placebo. The changes with respect to baseline were already significant after 1 week and persisted up to week 14. Only 5 of 25 (20%) patients were nonresponders (<50% decrease of the primary outcome). The responses to a second BTX-A injection provided results similar to the first administration. Mild pain at the injection site (4/25 cases) was the only adverse event, and it disappeared within 2 to 3 days.
INTERPRETATION:

Local BTX-A infiltration is an efficacious and safe procedure for obtaining a sustained amelioration of muscle cramps associated with diabetic neuropathy. Ann Neurol 2018;84:682-690.","PubMed"
"Objective: To investigate the prevalence of calf muscle cramp and possible influence factor for pregnant woman in China. method: use a multi - stage stratify probability proportional to size cluster randomization sample method during 2010 - 2012. A total of 3 582 pregnant woman be investigate at 150 county from 31 province in China mainland. Information on calf muscle cramp, demographic socio - economic status, pregnancy information, and the physical activity be collect through questionnaire. The semi - quantitative food frequency questionnaire ( FFQ ) be use to collect food intake of pregnant woman. Dynamic cluster analysis be use to assess dietary pattern. Multiple logistic regression be use to investigate the possible influence factor for calf muscle cramp. result: The prevalence of calf muscle cramp be 32. 9 % ( 1 180 / 3 582 ) in Chinese pregnant woman, which be 11. 6 % ( 87 / 748 ), 28. 2 % ( 420 / 1 492 ), and 50. 2 % ( 673 / 1 342 ), respectively, during the first, 2 and 3 trimester. There be significant difference between them (? ( 2 ) =349. 16, P<0. 001 ). Dietary pattern of the pregnant woman be classify into three group, which call relatively balance pattern, high vegetable and fruit pattern, and high dairy pattern. Among the three group, the prevalence of calf muscle cramp be 32. 0 % ( 952 / 2 971 ), 37. 2 % ( 186 / 500 ), and 37. 8 % ( 42 / 111 ), with significant difference (? ( 2 ) =6. 39, P=0. 041 ). The OR ( 95 % CI ) value of calf muscle cramp in the 2 and 3 trimester be 2.96 ( 2. 28 - 3. 83 ), and 8.02 ( 6. 16 - 10. 44 ), respectively, compare with the first trimester. The OR ( 95 % CI ) value of calf muscle cramp in the woman take calcium before pregnant be 1.45 ( 1. 19 - 1. 76 ), compare with the one who be not take. The OR ( 95 % CI ) value of calf muscle cramp in the woman who have be diagnose by pregnancy - induce hypertension be 5.76 ( 2. 06 - 16. 12 ), compare with the one who have not be diagnose. The OR ( 95 % CI ) value of calf muscle cramp in the high vegetable and fruit pattern and high dairy pattern be 1.13 ( 0. 91 - 1. 41 ), and 1.18 ( 0. 76 - 1. 81 ), respectively, compare with the relatively balance pattern. Conclusion: The prevalence of calf muscle cramp be relatively high in Chinese pregnant woman, which be significantly different among three trimester. The residential area, occupation, and pregnancy - induce hypertension may be relate to the prevalence of calf muscle cramp. However, there be no significant difference among different dietary pattern. keyword: Calf muscle cramp; Cross - sectional study; Peripartum period; Risk factor","Objective: To investigate the prevalence of calf muscle cramps and possible influencing factors for pregnant women in China. Methods: Using a multi-stage stratified probability proportional to size cluster randomization sampling method during 2010-2012. A total of 3 582 pregnant women were investigated at 150 counties from 31 provinces in China mainland. Information on calf muscle cramps, demographic socio-economic status, pregnancy information, and the physical activities was collected through questionnaires. The semi-quantitative food frequency questionnaire (FFQ) was used to collect food intake of pregnant women. Dynamic cluster analysis was used to assess dietary pattern. Multiple logistic regression was used to investigate the possible influencing factors for calf muscle cramps. Results: The prevalence of calf muscle cramps was 32.9% (1 180/3 582) in Chinese pregnant women, which was 11.6% (87/748), 28.2% (420/1 492), and 50.2% (673/1 342), respectively, during the first, second and third trimester. There were significant differences between them (?(2)=349.16, P<0.001). Dietary patterns of the pregnant women were classified into three groups, which called relatively balanced pattern, high vegetables and fruits pattern, and high dairy pattern. Among the three groups, the prevalence of calf muscle cramps was 32.0% (952/2 971), 37.2% (186/500), and 37.8% (42/111), with significant differences (?(2)=6.39, P=0.041). The OR (95%CI) values of calf muscle cramps in the second and third trimester was 2.96 (2.28-3.83), and 8.02 (6.16-10.44), respectively, comparing with the first trimester. The OR (95%CI) values of calf muscle cramps in the women taking calcium before pregnant was 1.45 (1.19-1.76), comparing with the one who was not taken. The OR (95%CI) values of calf muscle cramps in the women who had been diagnosed by pregnancy-induced hypertension was 5.76 (2.06-16.12), comparing with the one who had not been diagnosed. The OR (95%CI) values of calf muscle cramps in the high vegetables and fruits pattern and high dairy pattern was 1.13 (0.91-1.41), and 1.18 (0.76-1.81), respectively, comparing with the relatively balanced pattern. Conclusion: The prevalence of calf muscle cramps was relatively high in Chinese pregnant women, which was significantly different among three trimesters. The residential areas, occupation, and pregnancy-induced hypertension might be related to the prevalence of calf muscle cramps. However, there was no significant difference among different dietary patterns.
KEYWORDS:

Calf muscle cramps; Cross-sectional studies; Peripartum period; Risk factors","PubMed"
"objective: We investigate if neuromuscular electrical stimulation ( NMES ) of calf muscle prevent spontaneous calf cramp. material AND method: In 19 individual affect by much than or equal to one calf cramp per week the gastrocnemius of the predominantly affect leg be stimulate twice a week ( intervention leg, IL ) over six week ( 3? 6 stimulation train at 30 Hz above the individual cramp threshold frequency ). The other leg serve as control ( CL ). The participant be advise to record all spontaneous muscle cramp from two week before the intervention until two week after the last NMES session. result: The numb of spontaneous calf cramp in the two week after the intervention be 78 % low ( 2.1? ñ? 6. 8 cramp ) in the stimulate ( p? <? 0. 001 ) and 63 % low ( 2. 0? ñ? 6. 9 cramp ) in the unstimulated calf ( p? <? 0. 001 ), when compare to the two week prior to the intervention ( IL: 9. 6? ñ? 12. 4 cramp; CL: 5. 5? ñ? 12. 7 cramp ). Only in the IL, this improvement be accompany by a increase in the cramp threshold frequency from 15. 5? ñ? 8. 5 Hz before the NMES intervention to 21. 7? ñ? 12. 4 Hz after the intervention. The severity of the remain calf cramp tend to be low in both leg after the intervention. conclusion: The apply stimulation protocol seem to provide a effective prevention strategy in individual affect by regular calf cramp.","OBJECTIVES:

We investigated if neuromuscular electrical stimulation (NMES) of calf muscles prevents spontaneous calf cramps.
MATERIALS AND METHODS:

In 19 individuals affected by more than or equal to one calf cramp per week the gastrocnemius of the predominantly affected leg was stimulated twice a week (intervention leg, IL) over six weeks (3 ? 6 stimulation trains at 30 Hz above the individual cramp threshold frequency). The other leg served as control (CL). The participants were advised to record all spontaneous muscle cramps from two weeks before the intervention until two weeks after the last NMES session.
RESULTS:

The number of spontaneous calf cramps in the two weeks after the intervention was 78% lower (2.1?ñ?6.8 cramps) in the stimulated (p?<?0.001) and 63% lower (2.0?ñ?6.9 cramps) in the unstimulated calves (p?<?0.001), when compared to the two weeks prior to the intervention (IL: 9.6?ñ?12.4 cramps; CL: 5.5?ñ?12.7 cramps). Only in the IL, this improvement was accompanied by an increase in the cramp threshold frequency from 15.5?ñ?8.5 Hz before the NMES intervention to 21.7?ñ?12.4 Hz after the intervention. The severity of the remaining calf cramps tended to be lower in both legs after the intervention.
CONCLUSIONS:

The applied stimulation protocol seems to provide an effective prevention strategy in individuals affected by regular calf cramps.","PubMed"
"BACKGROUND: Up to 33 % of the general population over 50 year of age be affect by nocturnal leg cramp. Currently there be no generally accept clinical characteristic, which identify nocturnal leg cramp. This study aim to identify this clinical characteristic and to differentiate between them and the characteristic of restless leg syndrome and periodic limb disorder. METHOD: A systematic literature study be execute from December 2015 to May 2016. This study comprise of a systematic literature review of randomize clinical trial, observational study on nocturnal and rest cramp of leg and other muscle, and other systematic and narrative review. Two researcher independently extract literature datum and analyze this use a standardize review protocol. modify version of the Cochrane Collaboration tool assess the risk of bias. A Delphi study be conduct to assess agreement on the characteristic of nocturnal leg cramp. result: After systematic and manual search, eight randomize trial and ten observational study be include. On the basis of this we identify seven diagnostic characteristic of nocturnal leg cramp: intense pain, period of duration from second to maximum 10 minute, location in calf or foot, location seldom in thigh or hamstring, persistent subsequent pain, sleep disruption and distress. CONCLUSION: The seven above characteristic will enhance recognition of the condition, and help clinician make a clear distinction between NLC and other sleep - relate musculoskeletal disorder among old adult. keyword: age; cramp; Diagnosis; Nocturnal; Restless leg syndrome; Sleep - wake transition disorder","BACKGROUND:

Up to 33% of the general population over 50 years of age are affected by nocturnal leg cramps. Currently there are no generally accepted clinical characteristics, which identify nocturnal leg cramps. This study aims to identify these clinical characteristics and to differentiate between them and the characteristics of restless leg syndrome and periodic limb disorder.
METHOD:

A systematic literature study was executed from December 2015 to May 2016. This study comprised of a systematic literature review of randomized clinical trials, observational studies on nocturnal and rest cramps of legs and other muscles, and other systematic and narrative reviews. Two researchers independently extracted literature data and analyzed this using a standardized reviewing protocol. Modified versions of the Cochrane Collaboration tools assessed the risk of bias. A Delphi study was conducted to assess agreement on the characteristics of nocturnal leg cramps.
RESULTS:

After systematic and manual searches, eight randomized trials and ten observational studies were included. On the basis of these we identified seven diagnostic characteristics of nocturnal leg cramps: intense pain, period of duration from seconds to maximum 10 minutes, location in calf or foot, location seldom in thigh or hamstrings, persistent subsequent pain, sleep disruption and distress.
CONCLUSION:

The seven above characteristics will enhance recognition of the condition, and help clinicians make a clear distinction between NLC and other sleep-related musculoskeletal disorder among older adults.
KEYWORDS:

Aged; Cramps; Diagnosis; Nocturnal; Restless legs syndrome; Sleep-wake transition disorder","PubMed"
"objective: To evaluate the clinical effectiveness of botulinum toxin ( BTX ) injection into the gastrocnemius muscle in patient with lumbar spinal stenosis ( LSS ) who have frequent nocturnal calf cramp ( NCCs ). DESIGN: Prospective, randomize clinical trial. set: Outpatient department for interventional pain management. participant: patient ( N=50 ) with LSS who have NCCs at less once per week be enroll. INTERVENTION: patient be randomly allocate to receive either conservative treatment plus gabapentin ( group GPN ) or BTX injection ( group BTX ). MAIN OUTCOME measure: We assess back / leg pain intensity, the frequency and severity of NCCs, insomnia severity, and functional disability at baseline and after 2 week, 1 month, and 3 month. Additionally, Patient Global Impression of Change be assess. result: Forty - five patient complete all assessment ( group GPN, n=21; group BTX, n=24 ). compare with group GPN, leg pain intensity, cramp frequency, and cramp severity be significantly decrease in group BTX at all follow - up visit ( all, P<. 01 ). Also, insomnia significantly improve in group BTX at the 2 - week ( P=. 018 ) and 1 - month follow - up ( P=. 037 ). Functional disability significantly improve in group BTX at 2 weeks' follow - up ( P=. 041 ). At the 3 - month follow - up, patient in group BTX report a high impression of improvement for NCC symptom than do that in group GPN ( P<. 001 ). A mean dose of 642. 8mg of gabapentin be give daily in group GPN, but 7 patient ( 33. 3 % ) report systemic side effect. There be no serious complication relate to BTX use. conclusion: BTX treatment appear to be effective and safe for NCCs in symptomatic LSS patient receive conservative care. TRIAL REGISTRATION: ClinicalTrials. gov NCT02444351. Copyright? 2017 American Congress of Rehabilitation Medicine. publish by Elsevier Inc. All right reserve. keyword: Botulinum toxin; Muscle cramp; Rehabilitation; Spinal stenosis","OBJECTIVES:

To evaluate the clinical effectiveness of botulinum toxin (BTX) injection into the gastrocnemius muscles in patients with lumbar spinal stenosis (LSS) who have frequent nocturnal calf cramps (NCCs).
DESIGN:

Prospective, randomized clinical trial.
SETTING:

Outpatient department for interventional pain management.
PARTICIPANTS:

Patients (N=50) with LSS who have NCCs at least once per week were enrolled.
INTERVENTION:

Patients were randomly allocated to receive either conservative treatments plus gabapentin (group GPN) or BTX injection (group BTX).
MAIN OUTCOME MEASURES:

We assessed back/leg pain intensity, the frequency and severity of NCCs, insomnia severity, and functional disability at baseline and after 2 weeks, 1 month, and 3 months. Additionally, Patient Global Impression of Change was assessed.
RESULTS:

Forty-five patients completed all assessments (group GPN, n=21; group BTX, n=24). Compared with group GPN, leg pain intensity, cramp frequency, and cramp severity were significantly decreased in group BTX at all follow-up visits (all, P<.01). Also, insomnia significantly improved in group BTX at the 2-week (P=.018) and 1-month follow-up (P=.037). Functional disability significantly improved in group BTX at 2 weeks' follow-up (P=.041). At the 3-month follow-up, patients in group BTX reported a higher impression of improvement for NCC symptoms than did those in group GPN (P<.001). A mean dose of 642.8mg of gabapentin was given daily in group GPN, but 7 patients (33.3%) reported systemic side effects. There were no serious complications related to BTX use.
CONCLUSIONS:

BTX treatment appears to be effective and safe for NCCs in symptomatic LSS patients receiving conservative care.
TRIAL REGISTRATION:

ClinicalTrials.gov NCT02444351.

Copyright ? 2017 American Congress of Rehabilitation Medicine. Published by Elsevier Inc. All rights reserved.
KEYWORDS:

Botulinum toxins; Muscle cramp; Rehabilitation; Spinal stenosis","PubMed"
"INTRODUCTION: Involuntary, localise leg cramp be common and typically affect the calf muscle at night. method AND outcome: We conduct a systematic review and aim to answer the follow clinical question: What be the effect of treatment for idiopathic leg cramp? What be the effect of treatment for leg cramp in pregnancy? We search: Medline, Embase, The Cochrane Library, and other important database up to January 2014 ( Clinical Evidence review be update periodically; please check our website for the much up - to - date version of this review ). We include harm alert from relevant organisation such as the US Food and Drug Administration ( FDA ) and the UK medicine and Healthcare product Regulatory Agency ( MHRA ). result: We find 16 study that meet our inclusion criterion. We perform a GRADE evaluation of the quality of evidence for intervention. conclusion: In this systematic review we present information relate to the effectiveness and safety of the follow intervention: analgesic; anti - epileptic drug; calcium salt; diltiazem; magnesium salt; multivitamin and mineral supplement; quinine; sodium chloride; stretch exercise; verapamil; vitamin B6 ( pyridoxine ); and vitamin E.","INTRODUCTION:

Involuntary, localised leg cramps are common and typically affect the calf muscles at night.
METHODS AND OUTCOMES:

We conducted a systematic review and aimed to answer the following clinical questions: What are the effects of treatments for idiopathic leg cramps? What are the effects of treatments for leg cramps in pregnancy? We searched: Medline, Embase, The Cochrane Library, and other important databases up to January 2014 (Clinical Evidence reviews are updated periodically; please check our website for the most up-to-date version of this review). We included harms alerts from relevant organisations such as the US Food and Drug Administration (FDA) and the UK Medicines and Healthcare products Regulatory Agency (MHRA).
RESULTS:

We found 16 studies that met our inclusion criteria. We performed a GRADE evaluation of the quality of evidence for interventions.
CONCLUSIONS:

In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics; anti-epileptic drugs; calcium salts; diltiazem; magnesium salts; multivitamin and mineral supplements; quinine; sodium chloride; stretching exercises; verapamil; vitamin B6 (pyridoxine); and vitamin E.","PubMed"
