abstract,source
"To compare the efficacy of intermittent and consecutive balneological outpatient treatment (hydrotherapy and peloidotherapy) in fibromyalgia syndrome (FMS). A parallel 1:1, single-blind, pilot study was performed. Patients were recruited from musculoskeletal disorders outpatient clinic. Eligible participants were patients aged 18-60, diagnosed as FMS according to ACR 2010 criteria. They were randomly assigned to either consecutive or intermittent treatment groups. Both groups received 20 min of full body immersion in a tap water pool at 38-39 øC and 30 min of mud pack application on the back region at 45 øC. Delivery of the treatment was five times weekly during 2 weeks in consecutive group and two times weekly during 5 weeks in intermittent group. The primary outcomes were pain intensity and the number of patients achieving a minimal clinically important difference (MCID) on Fibromyalgia Impact Questionnaire (FIQ) at the 1st month after the completion of the treatment. Statistical analyses were based on intention to treat method. The assessing physician was blinded. Pain intensity significantly decreased in all post-treatment evaluations of both groups (except after treatment in the intermittent group). There was no significant difference between the groups. MCID for FIQ was achieved in 6 (24%) patients in the consecutive group and 12 (48%) in the intermittent group at the 1st month. There was no statistical difference in the secondary judgment criteria. The consecutive and intermittent deliveries of balneological outpatient treatment (hydrotherapy and peloidotherapy) seem to have similar effects on the clinical status of patients with FMS.
KEYWORDS:

Balneotherapy; Fibromyalgia syndrome; Hydrotherapy; Intermittent balneotherapy; Peloidotherapy",PubMed
"The objective of the present study was to experimentally assess the effects of a mindfulness-based intervention (MBI) for the improvement of subjective well-being, trait emotional intelligence (TEI), mental health, and resilience in a sample of women with fibromyalgia (FM). The sample consisted of 104 women, between 29 and 77 years old (M = 47.59; SD = 5.93). The measures used were as follows: Satisfaction with Life Scale (SWLS), Positive and Negative Affection Scale (PANAS), Trait Emotional Intelligence Questionnaire Short Form (TEIQue-SF), Mental Health Questionnaire (MH-5), and Resilience Scale (ER-14). A quasi-experimental design of repeated measures with a control group (CG) was used: before and after the application of the treatment and a follow-up assessment 6 months after the completion of the intervention. In order to assess the effect of the program, the participants were randomly assigned to the experimental and control conditions. In the pretest evaluation, a multivariate analysis of variance (MANOVA) and analysis of variance (ANOVA) were carried out. In the post-test evaluation, a multivariate analysis of covariance (MANCOVA) of the study variables as a whole was performed. Then, descriptive analyses and analysis of covariance (ANCOVA) of the post-test scores (covariate pretest score) were performed. In the follow-up evaluation, a MANCOVA of the study variables as a whole was performed. Then, descriptive and ANCOVA analyses of the follow-up scores (covariate pretest score) were performed. In addition, the effect size was calculated using partial eta-squared (?2). The post-test results confirmed statistically significant differences in satisfaction with life (SWL), positive affect (PA), mental health, and resilience. The follow-up results showed statistically significant differences in SWL, PA, TEI, mental health, and resilience. The study provides an effective intervention tool that has been validated experimentally. The general results allow the emphasis of the importance of the implementation of MBIs framed in non-pharmacological treatments in FM.

Copyright ? 2019 Cejudo, Garc¡a-Castillo, Luna, Rodrigo-Ruiz, Feltrero and Moreno-G¢mez.
KEYWORDS:

chronic pain; fibromyalgia; mindfulness; random assignment; subjective well-being",PubMed
"BACKGROUND:

Fibromyalgia is a heterogeneous condition that appears to be associated with physiological and biochemical disturbances of pain modulation, and that consequently affects numerous other facets of life. Tramadol is currently being explored as an option to manage fibromyalgia pain and other symptoms because of its inhibitory activity of reuptake of neurotransmitters, but its safety and efficacy have not yet been established in these patients.
OBJECTIVE:

To evaluate the effectiveness and safety of tramadol on the management of symptoms of the syndrome.
METHODS:

We searched CENTRAL, MEDLINE, EMBASE, LILACS, Opengrey, ClinicalTrials. gov, and WHO-ICTRP for randomized controlled trials analyzing the association between tramadol used for fibromyalgia either single-agent or in combination with other drugs. Two reviewers independently extracted data and assessed risk of bias using the Cochrane risk-of-bias tool for all included studies. Quality of the evidence was evaluated using the Grading of Recommendations Assessment, Development and Evaluation (GRADE).
RESULTS:

Four RCTs comprising 459 patients were included. Tramadol-either as a single-agent or in combination with an antidepressant or analgesic-had a positive effect on pain. Tramadol combined with analgesic showed improved quality of life over placebo as measured by the Fibromyalgia Impact Questionnaire at 91 days. However, this difference did not hold for tramadol as a single agent against placebo. The evidence in these articles was rated ""low"" using the GRADE approach. No serious adverse events were reported. No improvement in depression and quality of sleep were observed.
CONCLUSIONS:

This systematic review found a dearth of clinical trials on tramadol in patients with fibromyalgia. Although the combination of monoamine and opioid mechanism of tramadol has shown positive effects for fibromyalgia, the available evidence is not sufficient to support or refute the use of tramadol in clinical practice for pain or symptom management.",PubMed
"Background:

Fibromyalgia (FM) is a chronic widespread pain disorder characterized by negative affect, sleep disturbance, and fatigue. This uncontrolled pilot study investigated the efficacy of daily yoga-based exercise to improve FM symptoms and explored baseline phenotypic characteristics associated with the greatest benefit.
Methods:

FM patients (n=46, with 36 completers) reported psychosocial functioning and a range of FM symptoms using validated instruments before and after participation in Satyananda yoga, which included weekly in-person pain-tailored group classes for 6 weeks and daily home yoga video practice.
Results:

Changes in FM symptoms from pre- to post-yoga were variable amongst participants. Group means for pain decreased, as reported by average daily diary and Brief Pain Inventory, with greater home practice minutes associated with a greater decrease in pain. Average daily ratings of sleep and fatigue improved. Pain catastrophizing was decreased overall, with greater change correlated to a decrease in FM symptoms. We did not observe any group mean changes in actigraphy sleep efficiency, Patient-Reported Outcomes Measurement Information System-anxiety and the Revised Fibromyalgia Impact Questionnaire. Multilevel Modeling analysis revealed a significant interaction between anxiety and catastrophizing for end-study sleep efficiency, fatigue, and pain, such that patients with higher baseline catastrophizing and lower baseline anxiety reported less pain and fatigue, and higher sleep efficiency after the sixth week of yoga practice.
Conclusion:

This pilot study suggests that yoga may reduce pain and catastrophizing, as well as improve sleep, but these changes were modest across study participants. Greater uptake of home yoga practice as well as a phenotype of higher baseline catastrophizing combined with lower baseline anxiety were associated with greater impact. Future randomized, controlled trials comparing different types of yoga or exercise will allow determination of the most effective treatments for FM and allow closer targeting to the patients who will benefit most from them.",PubMed
"OBJECTIVES:

To determine the psychopathological profile of patients with central sensitization (CS) in a sample of knee osteoarthritis, with and without CS, and fibromyalgia, and to compare their psychopathological profiles.
METHODS:

The final sample consists of 19 patients with osteoarthritis and CS (mean 66.37 years ñ 8.77), 41 osteoarthritis patients without CS (mean 66.8 ñ 7.39 years), 47 fibromyalgia patients (mean 46.47 years ñ 7.92) and 26 control subjects (mean 51.56 years ñ 11.41). The psychopathological profile was evaluated with the Millon Multiaxial Clinical Inventory.
RESULTS:

The average score of MCMI-III reflect higher scores in the fibromyalgia and osteoarthritis-CS groups. Patients with osteoarthritis-CS are more likely to report larger scores in Borderline and Major Depression scales. Fibromyalgia patients are more likely to report more increased scores in Somatoform and Major Depression, versus osteoarthritis-CS group. Fibromyalgia patients versus osteoarthritis without CS are more likely to report higher scores in Schizoid, Depression, Histrionic, Sadistic, Borderline, Somatoform, Posttraumatic Stress Disorder and Major Depression scales.
DISCUSSION:

Patients with CS have less differences in their psychopathological profiles as well as in both osteoarthritis groups and greatest differences are obtained between the fibromyalgia and osteoarthritis without CS, so perhaps presence of CS is the key to differentiate those groups and not chronic pain. An exhaustive assessment brings more accurate psychopathological profiles, thus better psychological treatment could be applied.",PubMed
"Intimate partner violence (IPV) is a global public health issue with a variety of ill health consequences associated with exposure. Due to the stimulation of chronic stress and inflammatory pathways, childhood abuse has been associated with the subsequent development of functional syndromes such as fibromyalgia and chronic fatigue syndrome (CFS). Although IPV in women appears to elicit similar biochemical responses, this association has not been tested thoroughly in IPV survivors. These functional syndromes are complex in etiology and any indication of their risk factors would benefit health care professionals managing this population. Therefore, we aimed to investigate the association between exposure to IPV with functional syndromes: fibromyalgia and CFS. We conducted a retrospective open cohort study using ""The Heath Improvement Network"" database between January 1, 1995 and December 1, 2017. A total of 18,547 women who were exposed to IPV were each matched by age to four controls who were not exposed (n = 74,188). The main outcome measures were the risk of developing fibromyalgia and CFS. These were presented as adjusted incidence rate ratios (aIRR) with 95% confidence intervals (CIs). We found that 97 women in the exposed group developed fibromyalgia (incidence rate [IR] = 1.63 per 1,000 person-years) compared to 239 women in the unexposed group (IR = 0.83 per 1,000 person-years). Following adjustment, this translated to an IRR of 1.73 (95% CI = [1.36, 2.22]). Similarly, 19 women developed CFS in the exposed group (IR = 0.32 per 1,000 person-years), compared to 53 in the unexposed group (0.18 per 1,000 person-years), which translates to an aIRR of 1.92 (95% CI = [1.11, 3.33]). Therefore, we have identified an association between a history of IPV in women and the development of these functional syndromes, which may provide more information to inform the biopsychosocial pathway precipitating the development of fibromyalgia and CFS.",PubMed
"Objectives:

Fibromyalgia (FM) is a central nervous system disorder characterized by widespread mechanical hyperalgesia due to unknown mechanisms. Several inflammatory mediators, such as interleukin-1 (IL-1), IL-6, IL-8, and tumor necrosis factor, are increased in the serum of FM patients. Although medications including pregabalin, duloxetine, and milnacipran are used to treat FM, the results are unsatisfying. In the present study we assessed whether electroacupuncture (EA) can reduce chronic FM pain and then proposed an underlying mechanism for this effect.
Materials and Methods:

Chronic FM pain was induced in mice by dual acid saline injection lasting up to 4 weeks.
Results:

Chronic FM pain was treated by EA manipulation, but not in the sham operated group. Phosphorylated phosphatidylinositol 3-kinase (pPI3K), protein kinase B, mechanistic target of rapamycin, and nuclear factor kappa-light-chain-enhancer of activated B cells were unaltered in the mouse dorsal root ganglion (DRG) and spinal cord (SC) after inducing FM and administering EA treatment. The pPI3K-associated nociceptive signaling pathway was increased in the thalamus of FM mice, but reversed by EA. Similar results were observed in the mouse somatosensory cortex.
Conclusion:

These data suggest that EA has a significant effect on a signaling pathway in brain areas of FM mice. These findings suggest the value of EA for clinical practice.
KEYWORDS:

3-kinase; Dorsal root ganglion; Electroacupuncture; Fibromyalgia; Phosphatidylinositol; Somatosensory cortex; Thalamus",PubMed
"OBJECTIVES:

Fibromyalgia is a complex, debilitating, multifactorial condition that can be difficult to manage. Recommended treatments are usually delivered in outpatient settings; evidence suggests that significant inpatient care occurs. We describe the scale and cost of inpatient care with a primary diagnostic code of fibromyalgia within the English National Health Service.
METHODS:

We conducted a cohort-level observational study of all patients admitted to hospital due to a diagnosis of fibromyalgia, between 1 April 2014 and 31 March 2018 inclusive, in the National Health Service in England. We used data from Hospital Episode Statistics Admitted Patient Care to study: the age and sex of patients admitted, number and costs of admissions, length of stay, procedures undertaken, class and type of admission, and distribution of admissions across clinical commissioning groups.
RESULTS:

A total of 24 295 inpatient admissions, costing œ20 220 576, occurred during the 4-year study period. Most patients were women (89%) with peak age of admission of between 45 and 55 years. Most admissions were elective (92%). A number of invasive therapeutic procedures took place, including a continuous i.v. infusion (35%). There was marked geographical variation in the prevalence and cost of inpatient fibromyalgia care delivered across the country, even after accounting for clinical commissioning group size.
CONCLUSIONS:

Many patients are admitted for treatment of their fibromyalgia and given invasive procedures for which there is weak evidence, with significant variation in practice and cost across the country. This highlights the need to identify areas of resource use that can be rationalized and diverted to provide more effective, evidence-based treatment.",PubMed
"OBJECTIVES:

Fibromyalgia (FM) is a chronic painful condition partly due to alterations in pain modulation by the central nervous system. Multicomponent therapy (MT) and repetitive transcranial magnetic stimulation (rTMS) had both been reported as pain modulators in FM patients. The aim of this study was to compare the effects of rTMS on pain with a combination of MT and rTMS versus MT.
METHODS:

Thirty-nine FM patients with pain visual analogue scale (pVAS) ò 40mm were randomized to active or sham rTMS (high frequency, primary motor cortex M1) plus 12 weeks of MT (3 sessions per week combining aerobic training, pool based exercises and relaxation). rTMS was started 2 weeks prior MT and maintained until the end of the program (week 14). Assessments were achieved at baseline, at week 14, and 6 months (week 40) after completing the program. The main outcome was the pain reduction, assessed by the weekly mean daily self-reported level of pain. Secondary outcomes were cardiorespiratory fitness (graded maximal exercise test), cardiac autonomic adaptations and fibromyalgia impact (fibromyalgia impact, depression, sleep efficiency and pain catastrophizing scales).
RESULTS:

The reduction of the weekly mean daily pain did not differ significantly between groups (repeated measures of ANOVA). Two-way ANOVAs showed that pVAS, as well as cardiorespiratory fitness, quality of life, depression and catastrophizing, improved significantly at week 14 and remained stable until week 40. Neither Cardiac autonomic adaptations nor sleep efficiency changed significantly.
CONCLUSION:

rTMS did not reduce pain in FM patients who followed the MT program.",PubMed
"The pathogenesis of fibromyalgia is still unknown. Core symptoms include pain, depression and sleep disturbances with high comorbidity, suggesting alterations in the monoaminergic system as a common origin of this disease. The reserpine-induced myalgia model (RIM) lowers pain thresholds and produces depressive-like symptoms. The present work aims to evaluate temporal dynamics in the oscillatory profiles and motor activity during sleep in this model and to evaluate if the model mimics the sleep disorders that occur in fibromyalgia patients. Hippocampal and EMG activity were recorded in chronically implanted rats. Following 3?days of basal recordings, reserpine was administered on 3 consecutive days to achieve the RIM. Post-reserpine recordings were taken on alternate days for 21?days. Reserpine induced changes in the sleep architecture with more transitions between states, and a different pattern between the administration period and post-reserpine weeks. Administration days were characterized by a larger amount of REM sleep with dominant theta waves without atonia. Following the reserpinization, theta oscillations were always more fragmented and with lower frequency. On the post-reserpine days, sleep was dominated by slow-wave sleep with fast intrusions and reduced hierarchical coupling with spindles and ripples. Simultaneous electromyography recordings also showed muscle twitches during sleep and the dissociation of theta activity and muscle atonia. Abnormally high slow waves, alpha/delta intrusions, frequent transitions and muscle twitches are common traits in fibromyalgia. Therefore, our analyses support the validity of the reserpine-induced myalgia model to study sleep disorders in fibromyalgia, and provide new insights into the research of oscillographic biomarkers. This article is protected by copyright. All rights reserve",PubMed
